SalePrice	SqFeet	Beds	Baths	Air	Garage	Pool	Year	Quality	Style	Lot	Highway
340	2.756	4	3	1	2	1	1973	2	7	22.546	0
399.9	3.262	5	4	1	2	0	1978	2	7	25.541	0
249.9	1.936	4	4	1	3	0	1987	2	3	12.85	0
389	3.148	4	4	1	3	1	1969	2	7	16.587	0
364.5	2.616	3	4	1	2	0	1977	2	7	32.655	0
357.5	3.63	4	3	1	2	0	1969	2	7	23.283	0
295	1.954	3	3	1	3	1	1962	2	3	19.3	0
274.5	1.926	5	3	1	2	0	1986	2	7	26.418	0
259	2.556	3	2	1	2	0	1957	2	1	80.886	0
415	2.282	5	4	1	2	0	1987	2	3	23.003	0
443	3.314	3	4	1	3	0	1986	2	7	22.012	0
249	2.001	3	3	1	2	0	1981	2	3	23.812	0
330	2.607	5	2	1	2	0	1976	2	3	23.139	0
291	2.84	4	4	1	2	0	1965	2	7	23.079	0
418	3.036	3	5	0	2	0	1977	2	7	33.746	0
320	2.24	4	2	1	3	0	1974	2	3	18.682	0
264	1.788	3	3	0	2	0	1969	2	1	18.484	0
381	2.62	5	4	1	2	0	1965	2	7	28.093	0
250	1.48	3	3	1	2	0	1984	2	3	14.23	0
360	2.588	3	3	1	2	1	1968	2	2	19.004	0
369.5	3.138	4	4	1	2	0	1969	2	7	18.19	0
285.4	2.46	5	4	1	2	0	1979	2	7	27.492	0
409	3.566	4	4	1	2	0	1976	2	7	18.044	0
333	2.692	5	4	1	3	0	1984	2	7	22.02	0
362	2.958	5	4	1	3	0	1987	2	7	45.2	0
387.5	3.164	4	4	1	2	1	1966	2	7	23.856	0
239	2.058	3	3	1	2	0	1969	2	2	21.046	0
299.9	2.717	3	4	1	2	0	1983	2	7	22.083	0
335	2.92	4	3	1	3	0	1987	2	7	22.434	0
275	2.554	5	3	1	2	0	1960	2	7	21.82	0
328	2.805	3	4	1	2	0	1988	2	7	22.582	0
333	2.736	4	3	1	2	1	1979	2	7	29.591	0
397	3.516	5	7	1	3	0	1996	2	7	34.795	0
374.8	3.536	6	4	1	2	1	1978	2	7	19.997	0
520	2.138	5	3	1	3	0	1956	2	1	86.83	0
325	2.718	4	4	1	3	0	1978	2	6	22.842	0
295	2.178	5	3	1	2	0	1958	2	1	25.891	0
415	3.152	5	4	1	2	0	1980	2	6	24.446	0
224.9	2.611	3	3	1	2	0	1987	2	7	6.924	0
265	2.06	4	3	1	2	0	1981	2	2	13.091	0
299.9	2.448	4	4	1	3	0	1979	2	7	26.79	0
390	4.05	6	5	1	2	1	1966	2	7	18.262	0
271	2.414	3	3	1	2	0	1914	2	7	24.357	0
330	3.072	4	3	1	2	0	1966	2	7	16.431	0
350	2.525	3	3	1	3	0	1983	2	4	27.138	0
310	2.866	5	3	1	3	0	1961	2	7	25.249	0
340	3.246	4	4	1	3	0	1987	2	7	52.218	0
307	2.707	4	4	1	2	0	1992	2	7	22.094	0
304	2.3	5	3	1	2	0	1961	2	3	35.824	0
275.9	1.86	3	3	1	2	0	1957	2	1	40.741	0
315	3.636	5	3	1	2	0	1976	2	7	19.776	0
295	1.91	4	3	1	2	0	1968	2	1	30.996	0
251.01	2.28	4	2	1	2	0	1956	2	1	25.543	0
335	3.386	4	5	0	2	0	1965	2	7	38.428	0
343.5	2.324	5	4	1	3	0	1967	2	3	22.435	0
297	1.97	4	3	1	2	0	1972	2	3	25.814	0
281	2.062	3	3	1	2	1	1977	2	2	23.608	0
235	2.617	4	3	1	2	0	1985	2	7	8.903	0
237	2.612	4	3	1	2	0	1985	2	7	10.144	0
274.9	2.472	3	3	1	2	0	1969	2	7	22.451	0
229.9	1.922	4	2	1	2	0	1957	2	1	15.791	0
259	1.852	3	2	1	2	0	1984	2	3	22.204	0
245	2.239	3	3	1	2	0	1986	2	3	22.216	0
208	2.068	3	2	1	2	0	1979	2	1	34.773	0
421	2.101	3	3	0	2	0	1956	2	1	65.499	0
320	2.2	4	3	1	2	0	1968	2	1	31.45	0
256	1.972	3	3	0	2	0	1989	2	3	32.027	0
275	2.007	3	3	1	2	1	1959	2	3	21.311	0
222	2.612	4	3	1	2	0	1985	2	7	8.229	0
249.9	2.124	4	1	1	3	0	1974	2	2	21.834	0
273.5	2.612	4	3	1	2	0	1985	2	7	8.924	0
218.5	2.548	2	2	1	2	0	1984	2	3	10.21	0
377	2.767	3	3	1	3	0	1941	2	4	75.232	0
220	2.025	3	3	1	2	0	1989	2	3	19.618	0
192.9	1.956	4	2	1	2	0	1962	2	2	21.779	0
298.75	2.46	4	3	1	2	0	1967	2	3	23.907	0
315	2.764	3	3	1	3	0	1972	2	7	23.947	0
315	2.004	4	3	1	2	0	1967	2	3	24.453	0
465.9	2.852	4	3	1	2	1	1961	2	7	34.04	0
239.5	2.096	3	3	1	2	0	1977	2	1	15.237	0
276	2.33	3	3	1	2	0	1989	2	7	17.433	0
226	2.52	4	3	1	2	0	1978	2	7	12.145	0
235	2.528	3	3	1	2	0	1977	2	3	26.469	0
247	2.03	4	3	1	3	0	1988	2	3	23.202	0
182	2.208	2	2	1	2	0	1985	2	7	6.734	0
180	1.5	2	1	1	0	0	1938	2	3	39.776	0
249	2.078	5	3	1	2	0	1965	2	1	21.512	0
260	2.442	4	3	1	2	0	1969	2	2	21.149	0
219.9	2.612	3	3	1	2	0	1986	2	7	11.288	0
295	2.268	4	3	1	3	0	1972	2	2	23.976	0
290	2.734	4	3	1	2	0	1971	2	7	23.488	0
300	2.228	4	3	1	2	0	1982	2	3	21.232	0
354.9	3	5	4	1	3	0	1973	2	7	21.643	0
261	2.404	5	3	1	3	1	1973	2	2	17.791	0
174.5	1.84	3	2	1	2	0	1960	2	1	16.356	0
244.9	2.107	3	2	0	2	0	1947	2	6	30.05	0
274.9	2.788	4	3	1	2	0	1984	2	7	18.96	0
214	2.416	3	3	1	2	0	1984	2	3	15.594	0
283	2.43	3	4	1	3	0	1984	2	6	18.164	0
177.9	1.584	3	2	1	2	0	1989	2	2	13.947	0
237.5	1.873	3	3	1	2	0	1978	2	3	21.998	0
202.15	1.644	4	3	1	2	0	1976	2	2	19.499	0
235	2.4	4	3	1	2	0	1976	2	7	44.347	0
217	2.094	4	3	1	2	0	1984	2	3	18.617	0
285	2.561	3	3	1	3	0	1981	2	7	18.985	0
217.5	1.752	3	2	1	2	0	1976	2	2	24.053	0
210	1.738	5	3	1	2	0	1983	2	3	15.206	0
183.34	2.068	3	2	1	3	0	1977	2	1	24.325	0
252	2.428	4	3	1	2	0	1966	2	7	22.727	0
237	2.09	4	2	1	2	0	1969	2	1	22.055	0
205	1.82	3	2	1	2	0	1944	2	2	28.023	0
285	3.219	4	4	1	2	0	1944	2	6	28.2	0
210	2.654	3	5	1	2	0	1962	2	1	28.882	0
280	1.802	4	3	1	2	0	1956	2	1	27.7	0
207	1.765	3	2	1	2	0	1976	2	2	22.983	0
221	2.786	4	3	1	2	0	1976	2	7	22.875	0
257	1.794	3	2	1	2	0	1960	2	3	21.691	0
274	2.768	3	3	0	2	0	1921	2	7	26.268	0
262	2.288	3	2	1	2	0	1963	2	3	16.975	0
204.4	2.028	3	2	1	2	0	1951	2	1	26.777	0
254.9	2.62	5	3	1	2	0	1966	2	7	27.989	0
244	1.644	3	3	1	2	0	1980	2	2	32.164	0
213	1.888	3	2	1	3	0	1958	2	1	14.757	0
240	2.116	4	3	1	2	0	1964	2	7	22.041	0
235	2.313	4	3	1	2	0	1972	2	7	24.705	0
206	1.824	4	2	1	2	0	1959	2	1	14.748	0
237	1.942	4	3	1	2	0	1972	2	2	23.105	0
274	2.184	4	3	1	2	0	1977	2	3	19.09	0
275	2.578	3	3	1	2	0	1965	2	7	22.299	0
218.4	2.036	4	3	1	2	0	1960	2	7	21.996	0
156	1.384	2	1	0	2	0	1961	2	1	26.706	0
220	1.826	4	3	1	2	0	1952	2	1	19.87	0
171.5	1.681	3	2	1	1	0	1957	2	1	15.985	0
180	1.726	3	2	1	2	0	1962	2	1	26.769	0
204	1.91	3	2	1	2	0	1958	2	3	15.423	0
307	2.664	4	3	1	2	0	1962	2	7	22.684	0
265	2.116	3	3	1	2	0	1976	2	2	33.344	0
209.9	2.03	3	3	1	2	0	1959	2	1	21.914	0
173	1.94	3	2	0	2	0	1956	2	3	11.61	0
189	1.676	3	3	0	2	0	1965	2	3	21.78	0
222.5	2.12	3	2	1	2	1	1959	2	1	17.883	0
265	2.152	4	3	1	2	0	1987	2	1	26.075	0
264.67	1.984	4	3	1	2	0	1966	2	1	31.204	0
200.75	1.575	3	3	1	2	0	1957	2	1	25.543	0
227.9	1.798	3	3	1	2	0	1978	2	2	17.82	0
255	2.017	3	1	0	1	0	1958	2	3	86.571	0
208.5	1.904	3	3	1	2	0	1978	2	2	15.559	0
226.9	1.718	3	3	1	2	0	1976	2	2	49.613	0
215	1.776	4	2	0	1	0	1980	2	2	22.839	0
222.95	2.609	4	3	1	2	0	1961	2	1	26.087	0
239.9	2.226	3	3	1	2	0	1955	2	2	13.52	0
176	1.556	2	1	1	3	0	1959	2	3	15.623	0
228	1.764	2	2	1	2	0	1985	2	3	8.105	0
204.9	1.626	3	3	1	2	1	1968	2	2	15.288	0
258	2.012	5	3	1	2	0	1967	2	2	21.303	0
241.85	2.09	4	4	1	2	0	1963	2	7	22.01	0
198.5	2.192	4	2	1	2	0	1963	2	2	22.851	0
243	2.228	4	4	1	2	0	1965	2	7	21.881	0
187	1.825	4	2	1	2	0	1963	2	2	15.81	0
233	2.132	4	3	1	2	0	1966	2	2	17.159	0
205	2.16	3	2	1	2	0	1983	2	7	16.555	0
205	1.974	3	2	1	2	0	1954	2	1	26.196	0
189	1.696	3	3	1	2	0	1968	2	1	31.851	0
204.9	2.132	3	3	1	2	0	1969	2	7	23.986	0
239	1.814	4	3	1	2	1	1979	2	2	24.698	0
193	1.796	3	2	1	2	0	1963	2	2	29.281	0
260	2.268	5	3	1	2	0	1971	2	3	35.24	0
188	1.719	2	3	1	2	0	1960	2	1	22.009	0
190.5	1.704	3	2	1	2	0	1984	2	3	22.583	0
230	2.142	3	2	1	2	0	1959	2	1	22.223	0
240	1.705	4	2	1	2	0	1972	2	1	42.322	0
235	1.752	4	3	1	2	0	1978	2	2	39.267	0
275	2.554	5	3	1	2	1	1966	2	7	22.381	0
205	1.65	3	2	1	2	0	1965	2	3	27.235	0
280	2.816	5	3	1	2	0	1946	2	5	29.109	0
190	1.919	3	4	1	2	0	1938	2	7	20.093	0
232.5	2.08	3	2	1	2	0	1968	2	1	32.021	0
259.5	2.108	4	4	1	2	0	1978	2	7	24.685	0
275	2.48	3	3	1	2	0	1964	2	1	22.144	0
183.9	1.746	3	2	1	2	0	1974	2	2	52.136	0
290	2.703	3	3	0	4	0	1963	2	1	43.599	0
217.95	1.64	4	2	1	2	0	1979	2	3	21.314	0
220	2.196	4	3	1	2	0	1972	2	7	17.899	0
185	1.701	3	2	1	1	0	1982	2	2	21.938	0
288	2.25	3	2	1	2	0	1949	2	4	23.684	0
197.5	2.502	4	2	1	2	0	1964	2	6	23.749	0
179.975	1.762	4	3	1	2	0	1959	2	1	15.742	0
195	2.016	4	3	1	2	0	1963	2	2	18.102	0
228.4	1.904	3	3	1	2	1	1976	2	2	14.945	0
194.75	1.652	5	2	1	2	0	1960	2	1	24.644	0
195	2.042	4	3	0	2	0	1963	2	2	21.849	0
210	2.019	4	3	1	3	0	1960	2	2	14.837	0
239.55	2.791	5	3	1	3	0	1946	2	4	22.863	0
242	2.514	4	3	1	1	0	1953	2	5	17.535	0
185	1.746	3	2	1	2	0	1984	2	3	12.386	0
175	1.93	3	2	1	2	0	1956	2	2	15.923	0
165	1.552	3	1	1	3	0	1959	2	3	27.068	0
185	1.566	4	2	1	2	0	1993	2	2	13.504	0
173.194	1.669	3	2	1	2	0	1964	2	2	24.643	0
205.15	1.814	3	3	1	2	0	1978	2	2	18.714	0
214.2	1.794	3	3	1	3	0	1976	2	2	24.308	0
182.5	1.691	3	2	1	2	1	1968	2	2	21.961	0
205	1.834	4	3	1	2	0	1959	2	1	30.726	0
208	1.984	5	3	1	2	0	1961	2	1	22.047	0
225	1.966	4	3	1	2	0	1962	2	1	24.871	0
170	1.669	3	2	1	2	0	1967	2	2	21.253	0
216	2.132	4	3	1	2	0	1976	2	1	41.332	0
180	2.007	4	3	1	2	0	1959	2	3	15.992	0
169.2	1.964	4	2	1	2	0	1964	2	7	18.162	0
213	2.325	4	3	1	3	0	1973	2	3	16.699	0
210	2.196	4	3	1	2	0	1965	2	7	29.329	0
185	2.061	3	2	1	2	0	1956	2	2	25.379	0
179.9	1.828	3	2	1	2	0	1956	2	3	37.15	0
196	1.956	4	3	1	2	0	1968	2	1	20.486	0
219.9	1.852	6	3	1	2	0	1968	2	2	20.8	0
159.9	1.795	1	2	1	2	0	1980	2	11	26.467	0
170	1.58	2	1	0	1	0	1950	3	5	10.799	0
169.9	1.708	3	1	0	1	0	1950	3	1	11.413	0
189.5	1.7	4	2	0	2	0	1953	3	1	14.023	0
195	1.742	1	1	1	2	0	1961	3	1	18.25	0
215	1.89	4	2	1	2	0	1961	3	1	22.11	0
171	1.512	2	1	0	1	0	1956	3	1	14.774	0
179.9	1.84	3	1	0	2	0	1953	3	1	40.832	0
120	1.06	2	1	0	2	0	1947	3	1	15.001	0
175	1.54	3	2	0	2	0	1957	3	1	45.458	0
232.9	1.55	4	2	1	2	1	1962	3	2	14.998	0
229.9	2.787	4	2	1	1	0	1922	3	5	39.558	0
174.9	1.528	2	2	1	2	0	1982	3	1	25.193	0
168.9	1.928	2	2	0	2	0	1941	3	5	26.393	0
229.5	2.329	3	2	1	2	0	1960	3	7	28.179	0
236	1.94	4	3	1	2	0	1959	3	1	15.073	0
205.5	2.114	5	2	1	2	0	1966	3	7	14.526	0
212	1.799	3	2	1	2	0	1962	3	2	16.21	0
205	1.864	3	2	1	2	0	1940	3	1	25.628	0
193	1.581	3	2	1	2	0	1956	3	1	15.064	0
180	1.652	3	2	1	2	0	1959	3	3	21.875	0
184	1.592	4	2	0	2	0	1977	3	1	25.943	0
144.9	1.52	3	1	0	1	0	1953	3	4	36.359	0
255	1.792	2	2	1	2	0	1955	3	1	31.257	0
137	1.464	2	1	0	1	0	1957	3	1	14.999	0
178	1.702	3	2	0	2	0	1961	3	1	21.898	0
296	2.18	3	2	1	2	0	1952	3	1	29.617	0
186.5	1.486	2	2	1	2	0	1958	3	1	18.479	0
170	1.364	2	1	0	2	0	1942	3	1	26.369	0
219	1.54	4	2	1	2	0	1977	3	2	30.691	0
188	1.608	4	2	1	2	0	1969	3	2	19.38	0
195.25	1.668	3	1	1	2	0	1956	3	3	17.06	0
175	1.944	3	2	1	2	0	1951	3	1	43.562	0
215	1.883	4	2	1	2	1	1956	3	1	19.932	0
197.5	2.215	4	1	0	2	0	1948	3	6	25.54	0
249.9	1.916	2	2	1	2	0	1954	3	1	20.576	0
180	1.508	2	2	1	2	0	1959	3	1	32.469	0
174.9	1.809	3	1	1	2	0	1958	3	2	16.782	0
189.9	1.958	4	3	0	2	0	1935	3	5	22.788	0
154	1.592	2	1	1	2	0	1951	3	1	10.332	0
150	1.636	2	1	1	2	0	1950	3	1	10	0
189.9	1.8	3	2	0	2	0	1964	3	2	13.566	0
157	1.6	3	1	0	2	0	1950	3	5	10.807	0
182	1.55	3	1	1	2	0	1966	3	1	15.1	0
187.65	1.578	3	1	1	2	0	1958	3	1	14.631	0
175	1.644	3	1	1	2	0	1956	3	1	12.999	0
189.9	1.556	3	2	1	1	0	1959	3	3	19.84	0
175	1.672	3	1	1	2	0	1949	3	1	22.617	0
159.9	1.65	2	2	1	1	0	1957	3	1	14.997	0
184.9	1.676	3	2	0	2	0	1956	3	1	16.156	0
174.9	1.96	2	2	0	2	0	1947	3	1	16.953	0
143	1.649	3	1	1	1	0	1951	3	5	20.096	0
164.9	1.728	3	1	1	1	0	1950	3	4	10.999	0
173.5	1.586	3	2	1	1	0	1958	3	1	15.862	0
161.8	1.592	2	1	0	1	0	1951	3	1	18.686	0
148	1.514	2	2	1	1	0	1964	3	1	16.209	0
177	1.952	4	2	1	2	0	1963	3	1	24.377	0
149.9	1.55	3	1	1	2	0	1956	3	1	14.311	0
170	1.544	2	2	0	1	0	1957	3	1	14.942	0
142	1.566	3	1	0	1	0	1959	3	1	15.228	0
186.9	1.65	3	2	1	2	0	1961	3	1	22	0
152.9	1.392	2	2	0	2	0	1951	3	1	29.199	0
350	2.981	5	4	1	2	0	1950	3	6	49.756	0
130	1.412	2	1	0	1	0	1940	3	1	16.752	0
167.9	2.18	4	2	0	2	0	1948	3	3	15.001	0
184.9	1.704	2	2	1	2	0	1954	3	1	16.759	0
178	1.6	3	2	1	2	0	1957	3	3	15.09	0
111	1.276	3	2	0	1	0	1951	3	1	11.554	0
207	1.666	4	2	0	1	0	1954	3	1	39.523	0
190	1.76	3	2	1	2	0	1974	3	2	20.193	0
230	1.836	3	2	0	2	0	1946	3	1	46.339	0
165	1.636	3	1	0	2	0	1953	3	1	20.125	0
210	1.748	3	2	1	2	0	1957	3	1	14.512	0
226	2.556	4	2	0	2	0	1923	3	6	36.276	0
149.9	1.511	4	1	1	1	0	1954	3	1	14.821	0
155	1.524	3	2	1	2	0	1958	3	1	21.875	0
219.9	1.821	4	2	1	2	0	1956	3	1	16.696	0
132	1.596	1	1	0	0	0	1940	3	1	28.357	0
195	2.392	4	2	0	2	0	1960	3	1	30.265	0
155.9	1.748	2	1	1	2	0	1956	3	1	16.231	0
119.9	1.384	2	1	0	0	0	1949	3	1	30.002	0
175	1.628	3	1	1	2	1	1957	3	1	17.069	0
304	1.911	4	2	1	2	0	1953	3	1	86.248	0
190	1.624	4	3	0	1	0	1959	3	3	15.002	0
229.1	1.956	3	2	1	2	1	1984	3	6	14.71	0
187.5	2.012	4	2	0	2	0	1953	3	5	14.925	0
173	1.59	2	2	1	2	0	1956	3	1	22.336	0
